 location_description,date_month,count
Central Coast,2010-02,16
Central Coast,2010-03,23
Central Coast,2010-04,17
Central Coast,2010-05,12
Central Coast,2010-06,18
Central Coast,2010-07,15
Central Coast,2010-08,16
Central Coast,2010-09,14
Central Coast,2010-10,18
Central Coast,2010-11,19
Central Coast,2010-12,13
Central Coast,2011-01,16
Central Coast,2011-02,14
Central Coast,2011-03,11
Central Coast,2011-04,16
Central Coast,2011-05,17
Central Coast,2011-06,12
Central Coast,2011-07,11
Central Coast,2011-08,18
Central Coast,2011-09,10
Central Coast,2011-10,17
Central Coast,2011-11,17
Central Coast,2011-12,10
Central Coast,2012-01,15
Central Coast,2012-02,19
Central Coast,2012-03,13
Central Coast,2012-04,15
Central Coast,2012-05,14
Central Coast,2012-06,17
Central Coast,2012-07,13
Central Coast,2012-08,20
Central Coast,2012-09,8
Central Coast,2012-10,18
Central Coast,2012-11,18
Central Coast,2012-12,12
Central Coast,2013-01,14
Central Coast,2013-02,18
Central Coast,2013-03,12
Central Coast,2013-04,25
Central Coast,2013-05,23
Central Coast,2013-06,10
Central Coast,2013-07,13
Central Coast,2013-08,10
Central Coast,2013-09,16
Central Coast,2013-10,9
Central Coast,2013-11,12
Central Coast,2013-12,14
Central Coast,2014-01,10
Central Coast,2014-02,18
Central Coast,2014-03,20
Central Coast,2014-04,14
Central Coast,2014-05,22
Central Coast,2014-06,15
Central Coast,2014-07,14
Central Coast,2014-08,7
Central Coast,2014-09,14
Central Coast,2014-10,20
Central Coast,2014-11,12
Central Coast,2014-12,13
Central Coast,2015-01,18
Central Coast,2015-02,16
Central Coast,2015-03,22
Central Coast,2015-04,17
Central Coast,2015-05,20
Central Coast,2015-06,17
Central Coast,2015-07,17
Central Coast,2015-08,13
Central Coast,2015-09,14
Central Coast,2015-10,4
Central Coast,2015-11,16
Central Coast,2015-12,10
Central Coast,2016-01,19
Central Coast,2016-02,14
Central Coast,2016-03,6
Central Coast,2016-04,16
Central Coast,2016-05,22
Central Coast,2016-06,17
Central Coast,2016-07,12
Central Coast,2016-08,16
Central Coast,2016-09,19
Central Coast,2016-10,14
Central Coast,2016-11,28
Central Coast,2016-12,17
Central Coast,2017-01,8
Central Coast,2017-02,13
Central Coast,2017-03,15
Central Coast,2017-04,17
Central Coast,2017-05,16
Central Coast,2017-06,15
Central Coast,2017-07,23
Central Coast,2017-08,19
Central Coast,2017-09,11
Central Coast,2017-10,14
Central Coast,2017-11,17
Central Coast,2017-12,17
Central Coast,2018-01,17
Central Coast,2018-02,11
Central Coast,2018-03,9
Central Coast,2018-04,13
Central Coast,2018-05,15
Central Coast,2018-06,20
Central Coast,2018-07,17
Central Coast,2018-08,21
Central Coast,2018-09,10
Central Coast,2018-10,20
Central Coast,2018-11,16
Central Coast,2018-12,8
Central Coast,2019-01,7
Central Coast,2019-02,13
Central Coast,2019-03,15
Central Coast,2019-04,14
Central Coast,2019-05,15
Central Coast,2019-06,16
Central Coast,2019-07,22
Central Coast,2019-08,5
Central Coast,2019-09,12
Central Coast,2019-10,16
Central Coast,2019-11,12
Central Coast,2019-12,13
Central Coast,2020-01,16
Central Coast,2020-02,22
Central Coast,2020-03,22
Central Coast,2020-04,5
Central Coast,2020-05,13
Central Coast,2020-06,19
Central Coast,2020-07,10
Central Coast,2020-08,18
Central Coast,2020-09,10
Central Coast,2020-10,16
Central Coast,2020-11,6
Central Coast,2020-12,4
Central Highlands,2010-01,8
Central Highlands,2010-02,11
Central Highlands,2010-03,10
Central Highlands,2010-04,6
Central Highlands,2010-05,2
Central Highlands,2010-06,8
Central Highlands,2010-07,5
Central Highlands,2010-08,5
Central Highlands,2010-09,9
Central Highlands,2010-10,6
Central Highlands,2010-11,5
Central Highlands,2010-12,5
Central Highlands,2011-01,6
Central Highlands,2011-02,6
Central Highlands,2011-03,9
