location,date,crash_count
campania_(kincora),2010-11,16
campania_(kincora),2010-12,12
campania_(kincora),2011-01,8
campania_(kincora),2011-02,10
campania_(kincora),2011-03,9
campania_(kincora),2011-04,10
campania_(kincora),2011-05,10
campania_(kincora),2011-06,19
campania_(kincora),2011-07,9
campania_(kincora),2011-08,11
campania_(kincora),2011-09,6
campania_(kincora),2011-10,10
campania_(kincora),2011-11,10
campania_(kincora),2011-12,9
campania_(kincora),2012-01,10
campania_(kincora),2012-02,6
campania_(kincora),2012-03,8
campania_(kincora),2012-04,12
campania_(kincora),2012-05,19
campania_(kincora),2012-06,6
campania_(kincora),2012-07,13
campania_(kincora),2012-08,11
campania_(kincora),2012-09,10
campania_(kincora),2012-10,7
campania_(kincora),2012-11,9
campania_(kincora),2012-12,8
campania_(kincora),2013-01,17
campania_(kincora),2013-02,8
campania_(kincora),2013-03,6
campania_(kincora),2013-04,9
campania_(kincora),2013-05,15
campania_(kincora),2013-06,9
campania_(kincora),2013-07,14
campania_(kincora),2013-08,8
campania_(kincora),2013-09,10
campania_(kincora),2013-10,5
campania_(kincora),2013-11,9
campania_(kincora),2013-12,10
campania_(kincora),2014-01,7
campania_(kincora),2014-02,9
campania_(kincora),2014-03,18
campania_(kincora),2014-04,9
campania_(kincora),2014-05,11
campania_(kincora),2014-06,18
campania_(kincora),2014-07,4
campania_(kincora),2014-08,10
campania_(kincora),2014-09,9
campania_(kincora),2014-10,13
campania_(kincora),2014-11,11
campania_(kincora),2014-12,9
campania_(kincora),2015-01,12
campania_(kincora),2015-02,5
campania_(kincora),2015-03,15
campania_(kincora),2015-04,10
campania_(kincora),2015-05,10
campania_(kincora),2015-06,8
campania_(kincora),2015-07,10
campania_(kincora),2015-08,17
campania_(kincora),2015-09,3
campania_(kincora),2015-10,10
campania_(kincora),2015-11,6
campania_(kincora),2015-12,6
campania_(kincora),2016-01,8
campania_(kincora),2016-02,8
campania_(kincora),2016-03,11
campania_(kincora),2016-04,11
campania_(kincora),2016-05,7
campania_(kincora),2016-06,15
campania_(kincora),2016-07,9
campania_(kincora),2016-08,13
campania_(kincora),2016-09,17
campania_(kincora),2016-10,13
campania_(kincora),2016-11,13
campania_(kincora),2016-12,11
campania_(kincora),2017-01,10
campania_(kincora),2017-02,14
campania_(kincora),2017-03,14
campania_(kincora),2017-04,6
campania_(kincora),2017-05,15
campania_(kincora),2017-06,10
campania_(kincora),2017-07,10
campania_(kincora),2017-08,11
campania_(kincora),2017-09,15
campania_(kincora),2017-10,13
campania_(kincora),2017-11,10
campania_(kincora),2017-12,10
campania_(kincora),2018-01,8
campania_(kincora),2018-02,16
campania_(kincora),2018-03,12
campania_(kincora),2018-04,10
campania_(kincora),2018-05,12
campania_(kincora),2018-06,13
campania_(kincora),2018-07,6
campania_(kincora),2018-08,14
campania_(kincora),2018-09,9
campania_(kincora),2018-10,12
campania_(kincora),2018-11,9
campania_(kincora),2018-12,15
campania_(kincora),2019-01,10
campania_(kincora),2019-02,9
campania_(kincora),2019-03,15
campania_(kincora),2019-04,11
campania_(kincora),2019-05,7
campania_(kincora),2019-06,10
campania_(kincora),2019-07,9
campania_(kincora),2019-08,16
campania_(kincora),2019-09,8
campania_(kincora),2019-10,16
campania_(kincora),2019-11,17
campania_(kincora),2019-12,17
campania_(kincora),2020-01,10
campania_(kincora),2020-02,8
campania_(kincora),2020-03,16
campania_(kincora),2020-04,10
campania_(kincora),2020-05,10
campania_(kincora),2020-06,16
campania_(kincora),2020-07,17
campania_(kincora),2020-08,11
campania_(kincora),2020-09,4
campania_(kincora),2020-10,10
campania_(kincora),2020-11,5
campania_(kincora),2020-12,4
cressy_(brumbys_creek),2010-01,10
cressy_(brumbys_creek),2010-02,20
cressy_(brumbys_creek),2010-03,16
cressy_(brumbys_creek),2010-04,6
cressy_(brumbys_creek),2010-05,8
cressy_(brumbys_creek),2010-06,16
cressy_(brumbys_creek),2010-07,8
cressy_(brumbys_creek),2010-08,10
cressy_(brumbys_creek),2010-09,10
cressy_(brumbys_creek),2010-10,8
cressy_(brumbys_creek),2010-11,14
cressy_(brumbys_creek),2010-12,16
cressy_(brumbys_creek),2011-01,19
cressy_(brumbys_creek),2011-02,9
cressy_(brumbys_creek),2011-03,13
cressy_(brumbys_creek),2011-04,18
cressy_(brumbys_creek),2011-05,12
cressy_(brumbys_creek),2011-06,20
cressy_(brumbys_creek),2011-07,11
cressy_(brumbys_creek),2011-08,4
cressy_(brumbys_creek),2011-09,14
cressy_(brumbys_creek),2011-10,13
cressy_(brumbys_creek),2011-11,8
cressy_(brumbys_creek),2011-12,10
cressy_(brumbys_creek),2012-01,12
cressy_(brumbys_creek),2012-02,5
cressy_(brumbys_creek),2012-03,8
cressy_(brumbys_creek),2012-04,14
cressy_(brumbys_creek),2012-05,10
cressy_(brumbys_creek),2012-06,12
cressy_(brumbys_creek),2012-07,10
cressy_(brumbys_creek),2012-08,13
cressy_(brumbys_creek),2012-09,7
cressy_(brumbys_creek),2012-10,10
cressy_(brumbys_creek),2012-11,12
cressy_(brumbys_creek),2012-12,10
cressy_(brumbys_creek),2013-01,11
cressy_(brumbys_creek),2013-02,13
cressy_(brumbys_creek),2013-03,18
cressy_(brumbys_creek),2013-04,14
cressy_(brumbys_creek),2013-05,10
cressy_(brumbys_creek),2013-06,13
cressy_(brumbys_creek),2013-07,14
cressy_(brumbys_creek),2013-08,9
cressy_(brumbys_creek),2013-09,12
cressy_(brumbys_creek),2013-10,13
cressy_(brumbys_creek),2013-11,14
cressy_(brumbys_creek),2013-12,20
cressy_(brumbys_creek),2014-01,8
cressy_(brumbys_creek),2014-02,13
cressy_(brumbys_creek),2014-03,19
cressy_(brumbys_creek),2014-04,17
cressy_(brumbys_creek),2014-05,8
cressy_(brumbys_creek),2014-06,9
cressy_(brumbys_creek),2014-07,10
cressy_(brumbys_creek),2014-08,10
cressy_(brumbys_creek),2014-09,6
cressy_(brumbys_creek),2014-10,8
cressy_(brumbys_creek),2014-11,13
cressy_(brumbys_creek),2014-12,15
cressy_(brumbys_creek),2015-01,11
cressy_(brumbys_creek),2015-02,18
cressy_(brumbys_creek),2015-03,15
cressy_(brumbys_creek),2015-04,13
cressy_(brumbys_creek),2015-05,7
cressy_(brumbys_creek),2015-06,16
cressy_(brumbys_creek),2015-07,8
cressy_(brumbys_creek),2015-08,11
cressy_(brumbys_creek),2015-09,7
cressy_(brumbys_creek),2015-10,9
cressy_(brumbys_creek),2015-11,6
cressy_(brumbys_creek),2015-12,18
cressy_(brumbys_creek),2016-01,17
cressy_(brumbys_creek),2016-02,13
cressy_(brumbys_creek),2016-03,12
cressy_(brumbys_creek),2016-04,8
cressy_(brumbys_creek),2016-05,7
cressy_(brumbys_creek),2016-06,7
cressy_(brumbys_creek),2016-07,17
cressy_(brumbys_creek),2016-08,10
cressy_(brumbys_creek),2016-09,6
cressy_(brumbys_creek),2016-10,10
cressy_(brumbys_creek),2016-11,12
cressy_(brumbys_creek),2016-12,14
cressy_(brumbys_creek),2017-01,12
cressy_(brumbys_creek),2017-02,10
cressy_(brumbys_creek),2017-03,9
cressy_(brumbys_creek),2017-04,13
cressy_(brumbys_creek),2017-05,12
cressy_(brumbys_creek),2017-06,17
cressy_(brumbys_creek),2017-07,15
cressy_(brumbys_creek),2017-08,6
cressy_(brumbys_creek),2017-09,8
cressy_(brumbys_creek),2017-10,9
cressy_(brumbys_creek),2017-11,17
cressy_(brumbys_creek),2017-12,15
cressy_(brumbys_creek),2018-01,8
cressy_(brumbys_creek),2018-02,12
cressy_(brumbys_creek),2018-03,11
cressy_(brumbys_creek),2018-04,11
cressy_(brumbys_creek),2018-05,14
cressy_(brumbys_creek),2018-06,16
cressy_(brumbys_creek),2018-07,18
cressy_(brumbys_creek),2018-08,13
cressy_(brumbys_creek),2018-09,9
cressy_(brumbys_creek),2018-10,17
cressy_(brumbys_creek),2018-11,13
cressy_(brumbys_creek),2018-12,11
cressy_(brumbys_creek),2019-01,16
cressy_(brumbys_creek),2019-02,14
cressy_(brumbys_creek),2019-03,13
cressy_(brumbys_creek),2019-04,16
cressy_(brumbys_creek),2019-05,11
cressy_(brumbys_creek),2019-06,16
cressy_(brumbys_creek),2019-07,13
cressy_(brumbys_creek),2019-08,9
cressy_(brumbys_creek),2019-09,14
cressy_(brumbys_creek),2019-10,10
cressy_(brumbys_creek),2019-11,8
cressy_(brumbys_creek),2019-12,13
cressy_(brumbys_creek),2020-01,20
cressy_(brumbys_creek),2020-02,15
cressy_(brumbys_creek),2020-03,10
cressy_(brumbys_creek),2020-04,7
cressy_(brumbys_creek),2020-05,6
cressy_(brumbys_creek),2020-06,9
cressy_(brumbys_creek),2020-07,8
cressy_(brumbys_creek),2020-08,9
cressy_(brumbys_creek),2020-09,12
cressy_(brumbys_creek),2020-10,8
cressy_(brumbys_creek),2020-11,8
cressy_(brumbys_creek),2020-12,3
dennes_point,2010-01,27
dennes_point,2010-02,25
dennes_point,2010-03,30
dennes_point,2010-04,21
dennes_point,2010-05,17
dennes_point,2010-06,26
dennes_point,2010-07,23
dennes_point,2010-08,23
dennes_point,2010-09,27
dennes_point,2010-10,21
dennes_point,2010-11,23
dennes_point,2010-12,29
dennes_point,2011-01,16
dennes_point,2011-02,20
dennes_point,2011-03,25
dennes_point,2011-04,30
dennes_point,2011-05,15
dennes_point,2011-06,24
