poaceae_pollen_concentration_grains_metre_cubed, other_pollen_concentration_grains_metre_cubed, start_date,location
0,59,2019-07-15T00:00:00.000+0000,canberra
0,210,2019-07-22T00:00:00.000+0000,canberra
1,112,2019-07-29T00:00:00.000+0000,canberra
0,106,2019-08-05T00:00:00.000+0000,canberra
0,486,2019-08-12T00:00:00.000+0000,canberra
1,298,2019-08-19T00:00:00.000+0000,canberra
0,843,2019-08-26T00:00:00.000+0000,canberra
0,1164,2019-09-02T00:00:00.000+0000,canberra
5,1048,2019-09-09T00:00:00.000+0000,canberra
10,8176,2019-09-16T00:00:00.000+0000,canberra
5,5161,2019-09-23T00:00:00.000+0000,canberra
59,4587,2019-09-30T00:00:00.000+0000,canberra
32,1329,2019-10-07T00:00:00.000+0000,canberra
113,745,2019-10-14T00:00:00.000+0000,canberra
187,149,2019-10-21T00:00:00.000+0000,canberra
93,43,2019-10-28T00:00:00.000+0000,canberra
29,7,2019-11-04T00:00:00.000+0000,canberra
40,6,2019-11-11T00:00:00.000+0000,canberra
21,41,2019-11-18T00:00:00.000+0000,canberra
114,41,2019-11-25T00:00:00.000+0000,canberra
143,48,2019-12-02T00:00:00.000+0000,canberra
34,23,2019-12-09T00:00:00.000+0000,canberra
28,27,2019-12-16T00:00:00.000+0000,canberra
2,1,2019-12-23T00:00:00.000+0000,canberra
0,0,2019-12-30T00:00:00.000+0000,canberra
1,2,2020-01-06T00:00:00.000+0000,canberra
3,3,2020-01-13T00:00:00.000+0000,canberra
7,1,2020-01-20T00:00:00.000+0000,canberra
7,10,2020-01-27T00:00:00.000+0000,canberra
5,4,2020-02-03T00:00:00.000+0000,canberra
13,176,2020-02-10T00:00:00.000+0000,canberra
25,457,2020-02-17T00:00:00.000+0000,canberra
15,424,2020-02-24T00:00:00.000+0000,canberra
9,101,2020-03-02T00:00:00.000+0000,canberra
11,52,2020-03-09T00:00:00.000+0000,canberra
17,173,2020-03-16T00:00:00.000+0000,canberra
9,98,2020-03-23T00:00:00.000+0000,canberra
8,13,2020-03-30T00:00:00.000+0000,canberra
26,50,2020-04-06T00:00:00.000+0000,canberra
49,59,2020-04-13T00:00:00.000+0000,canberra
8,22,2020-04-20T00:00:00.000+0000,canberra
0,10,2020-04-27T00:00:00.000+0000,canberra
5,26,2020-05-04T00:00:00.000+0000,canberra
1,7,2020-05-11T00:00:00.000+0000,canberra
2,13,2020-05-18T00:00:00.000+0000,canberra
0,21,2020-05-25T00:00:00.000+0000,canberra
0,10,2020-06-01T00:00:00.000+0000,canberra
0,6,2020-06-08T00:00:00.000+0000,canberra
1,21,2020-06-15T00:00:00.000+0000,canberra
4,3,2020-06-22T00:00:00.000+0000,canberra
